CustomerID,Cluster
C0001,3
C0002,3
C0003,3
C0004,0
C0005,1
C0006,3
C0007,3
C0008,0
C0009,1
C0010,3
C0011,3
C0012,2
C0013,2
C0014,1
C0015,1
C0016,3
C0017,0
C0018,2
C0019,3
C0020,1
C0021,2
C0022,2
C0023,2
C0024,2
C0025,3
C0026,3
C0027,3
C0028,0
C0029,3
C0030,3
C0031,3
C0032,1
C0033,1
C0034,2
C0035,3
C0036,1
C0037,2
C0038,3
C0039,2
C0040,3
C0041,0
C0042,1
C0043,1
C0044,3
C0045,0
C0046,2
C0047,2
C0048,3
C0049,2
C0050,3
C0051,2
C0052,3
C0053,2
C0054,0
C0055,3
C0056,3
C0057,2
C0058,1
C0059,0
C0060,1
C0061,1
C0062,1
C0063,1
C0064,3
C0065,0
C0066,3
C0067,2
C0068,0
C0069,3
C0070,3
C0071,1
C0072,3
C0073,3
C0074,3
C0075,0
C0076,3
C0077,1
C0078,1
C0079,3
C0080,1
C0081,2
C0082,0
C0083,1
C0084,2
C0085,1
C0086,3
C0087,0
C0088,3
C0089,1
C0090,2
C0091,2
C0092,3
C0093,0
C0094,3
C0095,1
C0096,2
C0097,1
C0098,2
C0099,0
C0100,2
C0101,0
C0102,0
C0103,3
C0104,0
C0105,2
C0106,3
C0107,3
C0108,2
C0109,0
C0110,1
C0111,3
C0112,1
C0113,2
C0114,2
C0115,3
C0116,3
C0117,3
C0118,3
C0119,3
C0120,3
C0121,1
C0122,2
C0123,1
C0124,2
C0125,3
C0126,2
C0127,3
C0128,1
C0129,3
C0130,1
C0131,1
C0132,1
C0133,3
C0134,3
C0135,3
C0136,2
C0137,3
C0138,2
C0139,2
C0140,1
C0141,0
C0142,3
C0143,0
C0144,1
C0145,0
C0146,3
C0147,2
C0148,2
C0149,2
C0150,1
C0151,1
C0152,3
C0153,2
C0154,3
C0155,2
C0156,0
C0157,3
C0158,3
C0159,1
C0160,3
C0161,2
C0162,2
C0163,2
C0164,3
C0165,0
C0166,3
C0167,1
C0168,3
C0169,2
C0170,2
C0171,2
C0172,3
C0173,0
C0174,3
C0175,0
C0176,3
C0177,3
C0178,3
C0179,2
C0181,2
C0182,2
C0183,3
C0184,3
C0185,3
C0186,1
C0187,3
C0188,0
C0189,3
C0190,3
C0191,3
C0192,3
C0193,3
C0194,2
C0195,2
C0196,3
C0197,1
C0198,1
C0199,3
C0200,2
